unicode,label
26C8,cloud_with_lightning_and_rain
1F311,new_moon
1F30A,water_wave
1F4A6,sweat_droplets
1F311,new_moon
1F51E,no_one_under_eighteen
1F30A,water_wave
1F47F,angry_face_with_horns
1F631,face_screaming_in_fear
1F628,fearful_face
2660,spade_suit
1F47F,angry_face_with_horns
1F608,smiling_face_with_horns
1F4C8,chart_increasing
1F576,sunglasses
1F5F3,ballot_box_with_ballot
26AB,black_circle
1F9F1,brick
1F526,flashlight
1F6AB,prohibited
1F6AB,prohibited
1F311,new_moon
274C,cross_mark
1F4A1,light_bulb
1F311,new_moon
1F3EB,school
1F92B,shushing_face
3299,Japanese_secret_button
1F628,fearful_face
1F479,ogre
1F311,new_moon
1FA83,boomerang
1F576,sunglasses
1F3E0,house
1F576,sunglasses
1F47F,angry_face_with_horns
26AB,black_circle
1F608,smiling_face_with_horns
1F608,smiling_face_with_horns
1F608,smiling_face_with_horns
1F608,smiling_face_with_horns
1F608,smiling_face_with_horns
1F311,new_moon
1F635,face_with_crossed-out_eyes
1F480,skull
1F608,smiling_face_with_horns
2753,red_question_mark
1F937 + 200D + 2640,woman_shrugging
1F47F,angry_face_with_horns
1F479,ogre
1F47A,goblin
1F60F,smirking_face
1F47F,angry_face_with_horns
1F608,smiling_face_with_horns
1F311,new_moon
1F608,smiling_face_with_horns
1F479,ogre
1F449,backhand_index_pointing_right
1F3DE,national_park
1F449,backhand_index_pointing_right
1F3E6,bank
27A1,right_arrow
1F3E6,bank
1F4B0,money_bag
2705,check_mark_button
1F3E6,bank
2714,check_mark
1F3E6,bank
1F449,backhand_index_pointing_right
1F3E6,bank
1F44D,thumbs_up
1F3E6,bank
1F4B0,money_bag
1F4B0,money_bag
1F4B0,money_bag
1F44D,thumbs_up
1F3E6,bank
1F4B8,money_with_wings
1F4B9,chart_increasing_with_yen
270B,raised_hand
1F449,backhand_index_pointing_right
1F449,backhand_index_pointing_right
1F590,hand_with_fingers_splayed
27A1,right_arrow
1F590,hand_with_fingers_splayed
1F449,backhand_index_pointing_right
1F590,hand_with_fingers_splayed
1F449,backhand_index_pointing_right
1F91A,raised_back_of_hand
1F449,backhand_index_pointing_right
1F44B,waving_hand
1F449,backhand_index_pointing_right
2714,check_mark
1F932,palms_up_together
1F91A,raised_back_of_hand
1F449,
1F449,backhand_index_pointing_right
1F449,backhand_index_pointing_right
27A1,right_arrow
1F481 + 200D + 2640,woman_tipping_hand
1F449,backhand_index_pointing_right
1F9CD,person_standing
1F449,
1F449,
1F464,bust_in_silhouette
1F449,backhand_index_pointing_right
27A1,right_arrow
1F9D1 + 200D + 1F91D + 200D + 1F9D1,people_holding_hands
1F448,backhand_index_pointing_left
2714,
2714,check_mark
1F4A1,light_bulb
1F469,woman
1F44D,thumbs_up
27A1,right_arrow
1F91D,handshake
2705,check_mark_button
1F9E0,brain
1F44D,
2705,
1F914,thinking_face
1F4AD,thought_balloon
1F4A1,light_bulb
1F4C8,chart_increasing
1F914,thinking_face
2705,check_mark_button
2714,
2714,check_mark
1F4C4,page_facing_up
270D,writing_hand
27A1,right_arrow
270D,writing_hand
2705,check_mark_button
2705,check_mark_button
1F4DD,memo
1F4AF,
2705,
1F914,thinking_face
2753,red_question_mark
1F4DD,memo
1F4A1,light_bulb
270F,pencil
2714,check_mark
1F64B + 200D + 2640,woman_raising_hand
1F44D,thumbs_up
2705,check_mark_button
2714,check_mark
1F468,man
2714,check_mark
1F468,man
1F495,two_hearts
27A1,right_arrow
1F468,man
1F44C,OK_hand
1F44D,thumbs_up
1F574,person_in_suit_levitating
1F44D,thumbs_up
1F468,man
1F449,backhand_index_pointing_right
1F471 + 1F3FB + 200D + 2642,man_light_skin_tone_blond_hair
1F469,woman
1F60D,smiling_face_with_heart-eyes
1F468,man
2714,check_mark
1F469 + 200D + 2764 + 200D + 1F48B + 200D + 1F468,kiss_woman_man
1F468 + 200D + 1F469 + 200D + 1F466 + 200D + 1F466,family_man_woman_boy_boy
1F449,backhand_index_pointing_right
1F6E3,motorway
1F449,backhand_index_pointing_right
1F6E3,motorway
27A1,right_arrow
1F6E3,motorway
2705,check_mark_button
1F6E3,motorway
2714,check_mark
1F6E3,motorway
1F449,backhand_index_pointing_right
1F6E3,motorway
1F697,automobile
1F6E3,motorway
2714,check_mark
1F6E3,motorway
2197,up-right_arrow
2714,
2714,check_mark
1F44D,thumbs_up
27A1,right_arrow
1F4AF,hundred_points
1F44D,thumbs_up
2705,check_mark_button
1F44D,
1F4AF,
1F5E3,speaking_head
2714,check_mark
1F600,grinning_face
1F44D,thumbs_up
1FA73,shorts
1F3D6,beach_with_umbrella
1F972,smiling_face_with_tear
1F90F,pinching_hand
2708,airplane
26E9,shinto_shrine
23F3,hourglass_not_done
1F3D6,beach_with_umbrella
2708,airplane
1F9F3,luggage
231B,hourglass_done
1F3D6,beach_with_umbrella
2194,left-right_arrow
1F3DD,desert_island
1F37E,bottle_with_popping_cork
1F486,person_getting_massage
1F9D6,person_in_steamy_room
1F9D8,person_in_lotus_position
1F90F,pinching_hand
1F3D6,beach_with_umbrella
1F90F,pinching_hand
1F9F3,luggage
1F6C4,baggage_claim
1F6EB,airplane_departure
1F6EC,airplane_arrival
1FA73,shorts
1F35A,cooked_rice
1F90F,pinching_hand
1F360,roasted_sweet_potato
1F35E,bread
1F95A,egg
1F90F,pinching_hand
1F954,potato
1F360,roasted_sweet_potato
1F35A,cooked_rice
274E,cross_mark_button
1F958,shallow_pan_of_food
23EC,fast_down_button
1F35A,cooked_rice
1F35C,steaming_bowl
1F90F,pinching_hand
1F35E,bread
1F90F,pinching_hand
1F33E,sheaf_of_rice
1F90F,pinching_hand
1F954,potato
1FA73,shorts
1F469 + 1F3FB + 200D + 1F9B0,woman_light_skin_tone_red_hair
1F487 + 200D + 2640,woman_getting_haircut
27A1,right_arrow
1F469 + 200D + 1F9B0,woman_red_hair
1F487,
1F90F,pinching_hand
1F9B1,curly_hair
1F469 + 200D + 1F9B0,woman_red_hair
1F469 + 200D + 1F9B1,woman_curly_hair
1F9D1 + 200D + 1F9B1,person_curly_hair
1F487 + 200D + 2640,
1F90F,pinching_hand
1F487 + 200D + 2640,woman_getting_haircut
1F468 + 200D + 1F9B1,man_curly_hair
1F469 + 200D + 1F9B1,woman_curly_hair
1FA73,shorts
1F6F3,passenger_ship
1F4A8,dashing_away
1F90F,pinching_hand
1F3ED,factory
1F6A2,ship
1F4A8,dashing_away
1F90F,pinching_hand
1F3ED,factory
2668,hot_springs
1FAC1,lungs
1F4A8,dashing_away
1F90F,pinching_hand
1F529,nut_and_bolt
2699,gear
1F90F,pinching_hand
1F6A2,ship
1F90F,pinching_hand
1F6AC,cigarette
1F4E6,package
1FA73,shorts
1F50C,electric_plug
1F90F,pinching_hand
1F4A1,light_bulb
26A1,high_voltage
274C,cross_mark
270F,pencil
1FA93,axe
1F527,wrench
274E,cross_mark_button
1F6B0,potable_water
23EC,fast_down_button
1F9E5,coat
1F45A,woman’s_clothes
1F455,t-shirt
1F456,jeans
203C,double_exclamation_mark
26A0,warning
1F35E,bread
1F6D6,hut
274C,cross_mark
1F90F,pinching_hand
1F4E6,package
1FA73,shorts
1F4B5,dollar_banknote
1F90F,pinching_hand
1F4B2,heavy_dollar_sign
274C,cross_mark
1F4B0,money_bag
274E,cross_mark_button
1F4B0,money_bag
1F937,person_shrugging
1F4B8,money_with_wings
1F4B8,money_with_wings
1F4B8,money_with_wings
1F90F,pinching_hand
1F4B5,dollar_banknote
1F4B0,money_bag
1F4B8,money_with_wings
1F614,pensive_face
1F90F,pinching_hand
1F4B7,pound_banknote
1FA73,shorts
2708,airplane
1F972,smiling_face_with_tear
2708,airplane
23F3,hourglass_not_done
2708,airplane
23F3,hourglass_not_done
2708,airplane
23F3,hourglass_not_done
2708,airplane
1F6EB,airplane_departure
1F6EC,airplane_arrival
1F90F,pinching_hand
2708,airplane
1F6EB,airplane_departure
1F90F,pinching_hand
231B,hourglass_done
1F6EC,airplane_arrival
1F6EB,airplane_departure
1F6EC,airplane_arrival
1FA73,shorts
1F5D3,spiral_calendar
1F90F,pinching_hand
1F4C5,calendar
23F3,hourglass_not_done
1F5D3,spiral_calendar
231B,hourglass_done
1F5D3,spiral_calendar
23F3,hourglass_not_done
1F5D3,spiral_calendar
1F4C5,calendar
1F51C,SOON_arrow
1F4C5,calendar
1F90F,pinching_hand
231B,hourglass_done
1F5D3,spiral_calendar
231B,hourglass_done
1F4C5,calendar
1FA73,shorts
1F4D6,open_book
1F90F,pinching_hand
1F4D9,orange_book
1F4D6,open_book
23F3,hourglass_not_done
1F4D5,closed_book
231B,hourglass_done
1F4D4,notebook_with_decorative_cover
231A,watch
1F4D6,open_book
1F90F,pinching_hand
1F5E3,speaking_head
1F90F,pinching_hand
1F5E3,speaking_head
1F4D6,open_book
231B,hourglass_done
1F4D6,open_book
1FA73,shorts
1F47D,alien
1F90F,pinching_hand
2620,skull_and_crossbones
23F3,hourglass_not_done
1F550,one_o’clock
1F469 + 200D + 1F9B3,woman_white_hair
1F9D3,older_person
1F44B,waving_hand
1F600,grinning_face
231B,hourglass_done
23F3,hourglass_not_done
1FAC0,anatomical_heart
1F493,beating_heart
1F468 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467,family_man_woman_girl_girl
1F449,backhand_index_pointing_right
1F480,skull
1F468 + 200D + 1F469 + 200D + 1F467,family_man_woman_girl
1F476,baby
1F9D3,older_person
26B0,coffin
231B,hourglass_done
1F90F,pinching_hand
231B,hourglass_done
26B0,coffin
1F44E,thumbs_down
1F4DD,memo
1F4A9,pile_of_poo
1F9F9,broom
1FAA0,plunger
1F6BD,toilet
1F9F9,broom
1F9A0,microbe
1F4A3,bomb
1F9B9 + 200D + 2642,man_supervillain
1F9A0,microbe
1F9B9,supervillain
1F4A3,bomb
1F9A0,microbe
1F92E,face_vomiting
1F922,nauseated_face
1F477 + 200D + 2642,man_construction_worker
1F4A9,pile_of_poo
1F4BC,briefcase
1F922,nauseated_face
1F9F3,luggage
1F6BD,toilet
1F477,construction_worker
1F6E0,hammer_and_wrench
1F44E,thumbs_down
1F9B6,foot
1F922,nauseated_face
1F9B6,foot
1F975,hot_face
1F9B6,foot
1F4A9,pile_of_poo
1F9FC,soap
1F9B6,foot
1F92E,face_vomiting
1F9B6,foot
1F4A9,pile_of_poo
1F463,footprints
1F616,confounded_face
1F9B6,foot
1F443,nose
1F9B6,foot
1F922,nauseated_face
1F44E,thumbs_down
1F41F,fish
1F37D,fork_and_knife_with_plate
1FAB0,fly
1F37D,fork_and_knife_with_plate
1F630,anxious_face_with_sweat
1F44E,thumbs_down
1F9FC,soap
1F37D,fork_and_knife_with_plate
1F92E,face_vomiting
1F37D,fork_and_knife_with_plate
1F4A9,pile_of_poo
1F37D,fork_and_knife_with_plate
1F92E,face_vomiting
1F37D,fork_and_knife_with_plate
1F9FC,soap
1F37D,fork_and_knife_with_plate
1F9EB,petri_dish
1F44E,thumbs_down
1F3DA,derelict_house
1FAB0,fly
1F3E0,house
1F9A0,microbe
1F6D6,hut
1F9A0,microbe
1F9FC,soap
1F9A0,microbe
1F3DA,derelict_house
1F92E,face_vomiting
1F6D6,hut
1F4A9,pile_of_poo
1F4B8,money_with_wings
1F3E0,house
1F974,woozy_face
1F9DF + 200D + 2642,man_zombie
1F623,persevering_face
1F51E,no_one_under_eighteen
1F4B8,money_with_wings
1F44E,thumbs_down
1F4DD,memo
1F694,oncoming_police_car
1F4C3,page_with_curl
1FAA0,plunger
1F6BD,toilet
1F9F9,broom
1F4B0,money_bag
1F475,old_woman
1F474,old_man
1F9A0,microbe
1F4BC,briefcase
1F92E,face_vomiting
1F6E0,hammer_and_wrench
1F4A9,pile_of_poo
26D1,rescue_worker’s_helmet
1F4BC,briefcase
1F612,unamused_face
1F9F3,luggage
1F6BD,toilet
1F477,construction_worker
1F6E0,hammer_and_wrench
1F44E,thumbs_down
1F4B0,money_bag
1F911,money-mouth_face
1F4B8,money_with_wings
1F9B9,supervillain
1F608,smiling_face_with_horns
1F4B5,dollar_banknote
1F4B5,dollar_banknote
1F6AB,prohibited
1F449,backhand_index_pointing_right
1F46E,police_officer
1F9A0,microbe
1F910,zipper-mouth_face
1F911,money-mouth_face
1F4B8,money_with_wings
1F9A0,microbe
1F92E,face_vomiting
1F4B5,dollar_banknote
1F4A9,pile_of_poo
1F4B5,dollar_banknote
1F4B0,money_bag
1F612,unamused_face
1F4B0,money_bag
1F693,police_car
1F6D1,stop_sign
1F4B5,dollar_banknote
1F4B5,dollar_banknote
1F4B5,dollar_banknote
1F44E,thumbs_down
1F9E5,coat
1F922,nauseated_face
1F92E,face_vomiting
1F612,unamused_face
1F635 + 200D + 1F4AB,face_with_spiral_eyes
1F616,confounded_face
1F449,backhand_index_pointing_right
1F6C1,bathtub
1F9FC,soap
1F455,t-shirt
1F92E,face_vomiting
1F457,dress
1F45A,woman’s_clothes
1F4A9,pile_of_poo
1F458,kimono
1F9CD + 200D + 2642,man_standing
1F922,nauseated_face
1F4A9,pile_of_poo
1F456,jeans
1F44E,thumbs_down
1F94A,boxing_glove
1F92C,face_with_symbols_on_mouth
1F621,enraged_face
274C,cross_mark
2696,balance_scale
1F4AA,flexed_biceps
1F468 + 200D + 1F9B2,man_bald
1F4A2,anger_symbol
1F92C,face_with_symbols_on_mouth
1F93C + 200D + 2642,men_wrestling
1F92E,face_vomiting
1F94B,martial_arts_uniform
1F4A9,pile_of_poo
1F44A,oncoming_fist
1F94A,boxing_glove
1F611,expressionless_face
1F612,unamused_face
1F94A,boxing_glove
1F47F,angry_face_with_horns
1F44A,oncoming_fist
1F94A,boxing_glove
1F93C,people_wrestling
1F5A5,
1F62C,grimacing_face
1F4CB,clipboard
31 + FE0F + 20E3,keycap_1
32 + FE0F + 20E3,keycap_2
33 + FE0F + 20E3,keycap_3
1F465,busts_in_silhouette
1F503,clockwise_vertical_arrows
25B6,play_button
1FA9C,ladder
1F932,palms_up_together
270D,writing_hand
1FA9B,screwdriver
1F527,wrench
1F91D,handshake
1F465,busts_in_silhouette
1F489,syringe
1FA7A,stethoscope
1FA79,adhesive_bandage
1FA78,drop_of_blood
1F9D1 + 200D + 2695,health_worker
1F465,busts_in_silhouette
1F504,counterclockwise_arrows_button
1F9D1 + 200D + 2695,health_worker
1F489,syringe
1F9D0,face_with_monocle
1F9E0,brain
1F9E0,brain
1F914,thinking_face
1F612,unamused_face
1F465,busts_in_silhouette
1F4DA,books
25B6,play_button
1F9E0,brain
1F932,palms_up_together
1F9E0,brain
1F978,disguised_face
1F46B,woman_and_man_holding_hands
1F932,palms_up_together
1F465,busts_in_silhouette
1F4DA,books
1F4D6,open_book
1F465,busts_in_silhouette
1F9E0,brain
1F9E0,brain
1F30E,globe_showing_Americas
1F3DE,
1F306,cityscape_at_dusk
1F3D9,cityscape
1F309,bridge_at_night
1F3DD,desert_island
1F465,busts_in_silhouette
26F0,mountain
25B6,play_button
1F9F1,brick
1F932,palms_up_together
1F306,cityscape_at_dusk
1F91D,handshake
1F3DD,desert_island
1F465,busts_in_silhouette
1F3DD,desert_island
1F64C,raising_hands
1F465,busts_in_silhouette
1F30E,globe_showing_Americas
1F1E6 + 1F1FD,Åland_Islands
1F1EE + 1F1F4,British_Indian_Ocean_Territory
1F1FB + 1F1EC,British_Virgin_Islands
1F1E7 + 1F1F6,Caribbean_Netherlands
1F1E7 + 1F1F6,Caribbean_Netherlands
1F1F0 + 1F1FE,Cayman_Islands
1F92C,
1F612,unamused_face
1F612,unamused_face
1F465,busts_in_silhouette
1F629,weary_face
1F912,face_with_thermometer
1F915,face_with_head-bandage
1F932,palms_up_together
1F645 + 200D + 2642,man_gesturing_NO
1F612,unamused_face
1F4A2,anger_symbol
1F64D + 200D + 2642,man_frowning
1F465,busts_in_silhouette
1FAB0,fly
1FAB3,cockroach
1F577,spider
1F465,busts_in_silhouette
1F61D,squinting_face_with_tongue
1F61D,squinting_face_with_tongue
1F504,counterclockwise_arrows_button
26F5,sailboat
1F468 + 1F3FB,man_light_skin_tone
2693,anchor
1F6A2,ship
2693,anchor
1F46C,men_holding_hands
1F465,busts_in_silhouette
1F471 + 200D + 2642,man_blond_hair
26F5,sailboat
25B6,play_button
26F5,sailboat
1F932,palms_up_together
26F5,sailboat
1F468,man
1F6A4,speedboat
1F466,boy
1F468 + 200D + 2708,man_pilot
2693,anchor
1F9D1 + 200D + 2708,pilot
1F6A4,speedboat
1FAB0,
1FAB0,fly
1F610,neutral_face
1F465,busts_in_silhouette
1FAB0,fly
1F3D8,houses
1F3D8,houses
1F3D8,houses
1FAB0,fly
1FAB0,fly
1FAB0,fly
1FAB0,fly
1FAB0,fly
1F932,palms_up_together
1FAB0,fly
1FAB0,
1F465,busts_in_silhouette
1F465,busts_in_silhouette
1FAB0,fly
1F3E0,house
1FAB0,fly
1F468 + 1F3FB,
1F9CD,person_standing
1F9CD,person_standing
1F937,person_shrugging
1F465,busts_in_silhouette
1F9CD + 200D + 2642,man_standing
25B6,play_button
1F466,boy
1F466,boy
1F466,boy
1F932,palms_up_together
1F468,man
1F468,
1F468,man
1F468,man
1F468,man
1F468,man
1F468,man
1F9D1 + 200D + 1F9B1,person_curly_hair
1F468 + 200D + 1F9B1,man_curly_hair
1F469 + 200D + 1F4BC,woman_office_worker
1F5E3,speaking_head
1F4BC,briefcase
1F5E3,speaking_head
2705,check_mark_button
1F197,OK_button
1F465,busts_in_silhouette
1F5E3,speaking_head
25B6,play_button
1F5E3,speaking_head
1F932,palms_up_together
1F91D,handshake
1F44F,clapping_hands
1F466,boy
1F9D1 + 200D + 1F9B1,person_curly_hair
1F5E3,speaking_head
2194,left-right_arrow
1F5E3,speaking_head
1F4D3,notebook
1F4D4,notebook_with_decorative_cover
1F4AC,speech_balloon
1F4AD,thought_balloon
1F45C,
1F453,glasses
1F45D,clutch_bag
1F457,dress
1F454,necktie
A9,copyright
1F465,busts_in_silhouette
1F481 + 1F3FB + 200D + 2640,woman_tipping_hand_light_skin_tone
1F45C,handbag
25B6,play_button
1F6D2,shopping_cart
1F45B,purse
1F932,palms_up_together
1F4F1,mobile_phone
2198,down-right_arrow
2199,down-left_arrow
1F465,busts_in_silhouette
1F9F3,luggage
1F45B,purse
1F4BC,briefcase
1F392,backpack
1F45C,handbag
1F465,busts_in_silhouette
1F6CD,shopping_bags
1F6CD,shopping_bags
1F504,counterclockwise_arrows_button
1F918,
1F3CB,person_lifting_weights
2699,gear
2696,balance_scale
1F517,link
1F3CB + 1F3FB,person_lifting_weights_light_skin_tone
1F6E0,hammer_and_wrench
2693,anchor
1F517,link
1F529,nut_and_bolt
2694,crossed_swords
2692,hammer_and_pick
26D3,chains
1F613,downcast_face_with_sweat
1FAA8,rock
2696,balance_scale
2699,gear
1F4E6,package
1F4E6,package
1F4E6,package
1F4E6,package
1F4E6,package
1F4E6,package
1F4E6,package
1F4E6,package
1F4E6,package
2716,multiply
1F4AF,hundred_points
1F3CB,person_lifting_weights
1F392,backpack
1F3CB + 200D + 2642,man_lifting_weights
1F4E6,package
1F3CB + 1F3FB,person_lifting_weights_light_skin_tone
1F69C,tractor
1F9F3,luggage
1F4A5,collision
1F3CB,person_lifting_weights
1F613,downcast_face_with_sweat
1F4E6,package
1F4AA,flexed_biceps
1F45B,purse
1F32B,fog
1F301,foggy
2716,multiply
1F4AF,hundred_points
1F32B,fog
1F32B,fog
1F3CB + 200D + 2642,man_lifting_weights
1F32B,fog
1F32B,fog
1F636 + 200D + 1F32B,face_in_clouds
1F32B,fog
1F928,face_with_raised_eyebrow
1F613,downcast_face_with_sweat
1F636 + 200D + 1F32B,face_in_clouds
1F32B,fog
1F4A8,dashing_away
1F354,hamburger
1F32D,hot_dog
1F32E,taco
1F60A,smiling_face_with_smiling_eyes
1F469 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467,family_woman_woman_girl_girl
1F468 + 200D + 1F468 + 200D + 1F467 + 200D + 1F467,family_man_man_girl_girl
1F468 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467,family_man_woman_girl_girl
1F37D,fork_and_knife_with_plate
1F4AF,hundred_points
1F359,rice_ball
1F35A,cooked_rice
1F358,rice_cracker
1F35C,steaming_bowl
1F956,baguette_bread
1F95E,pancakes
1F96B,canned_food
1F35B,curry_rice
1F372,pot_of_food
1F44C + 1F3FB,OK_hand_light_skin_tone
1F37D,fork_and_knife_with_plate
1F34E,red_apple
1F34F,green_apple
1F34E,red_apple
1F350,pear
1F34A,tangerine
1F954,potato
1F360,roasted_sweet_potato
1F950,croissant
1F96F,bagel
1F35E,bread
1FAD3,flatbread
1F351,peach
1F965,coconut
1F95D,kiwi_fruit
1F354,hamburger
1F32D,hot_dog
1F32E,taco
1F32F,burrito
1F96A,sandwich
1F355,pizza
1F450,open_hands
1F60B,face_savoring_food
1F60A,smiling_face_with_smiling_eyes
1F4C8,chart_increasing
1F469 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467,family_woman_woman_girl_girl
1F468 + 200D + 1F468 + 200D + 1F467 + 200D + 1F467,family_man_man_girl_girl
1F468 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467,family_man_woman_girl_girl
1F4C8,chart_increasing
1F4C9,chart_decreasing
1F4CB,clipboard
2705,check_mark_button
1F37D,fork_and_knife_with_plate
2705,check_mark_button
1F44C + 1F3FB,OK_hand_light_skin_tone
1F512,locked
1F34F,green_apple
1F34C,banana
1F950,croissant
1F32E,taco
1F96A,sandwich
1F968,pretzel
1F9C0,cheese_wedge
1F95A,egg
1F95E,pancakes
1F96C,leafy_green
1F336,hot_pepper
1F362,oden
1F9CB,bubble_tea
1F330,chestnut
1F36A,cookie
1F382,birthday_cake
1F942,clinking_glasses
1F368,ice_cream
1F646 + 1F3FB + 200D + 2640,woman_gesturing_OK_light_skin_tone
1F4E6,package
1F450,open_hands
1F4C8,chart_increasing
1F60A,
1F930,pregnant_woman
1F4C8,chart_increasing
1F4CF,straight_ruler
1F456,jeans
1F374,fork_and_knife
1F374,fork_and_knife
1F35D,spaghetti
1F385,Santa_Claus
1F90C + 1F3FB,pinched_fingers_light_skin_tone
1F457,dress
1F4B8,money_with_wings
1F3E6,bank
1F4B5,dollar_banknote
1FA99,coin
1F4B0,money_bag
1F4B9,chart_increasing_with_yen
1F3E7,ATM_sign
1F4B2,heavy_dollar_sign
1F4B3,credit_card
1F911,money-mouth_face
1F646 + 1F3FB + 200D + 2640,woman_gesturing_OK_light_skin_tone
1FA73,shorts
1F450,open_hands
1F930,pregnant_woman
1F92F,exploding_head
1F929,star-struck
1F929,star-struck
1F92F,exploding_head
1F386,fireworks
1F632,astonished_face
1F4AF,hundred_points
1F970,smiling_face_with_hearts
1F440,eyes
1F3DE,national_park
1F440,eyes
2705,check_mark_button
1F929,star-struck
1F3DE,national_park
1F440,eyes
1F391,moon_viewing_ceremony
1F929,
1F440,eyes
1F5BC,framed_picture
1F611,expressionless_face
1F971,yawning_face
1F615,confused_face
1F611,expressionless_face
1F636,face_without_mouth
1F611,expressionless_face
1F971,yawning_face
1F971,yawning_face
1F612,unamused_face
1F971,yawning_face
1F612,unamused_face
1F44E,thumbs_down
1F624,face_with_steam_from_nose
1F614,pensive_face
1F62A,sleepy_face
1F613,
1F611,expressionless_face
1F971,yawning_face
26BD,soccer_ball
1F611,expressionless_face
1FA85,pinata
1F9F8,teddy_bear
1F971,yawning_face
1F3AD,performing_arts
1F971,yawning_face
1F3AD,performing_arts
1F612,unamused_face
26BD,soccer_ball
1F44E,thumbs_down
1F3C0,basketball
1F62A,sleepy_face
1F3AE,video_game
1F3AD,performing_arts
1F615,confused_face
1F611,expressionless_face
1F971,yawning_face
1F32B,fog
1F325,sun_behind_large_cloud
1F327,cloud_with_rain
1FA9F,window
1F32B,
1F311,new_moon
1F303,night_with_stars
1F612,unamused_face
1F32B,fog
25AA,black_small_square
26C8,cloud_with_lightning_and_rain
1F329,cloud_with_lightning
1F32B,fog
1F32B,
1F32B,fog
1F948,2nd_place_medal
1F32B,fog
1F374,fork_and_knife
1F944,spoon
1F48D,ring
274C,cross_mark
1F31F,glowing_star
1F311,new_moon
1F948,2nd_place_medal
1F948,2nd_place_medal
2699,gear
1F311,new_moon
25AA,black_small_square
1F48D,ring
1F948,2nd_place_medal
1F614,pensive_face
1F32B,fog
1FA99,coin
1F611,expressionless_face
1F971,yawning_face
1F4C6,tear-off_calendar
1F325,sun_behind_large_cloud
1F3D9,cityscape
1F611,expressionless_face
1F4C5,calendar
1F311,new_moon
1F31A,new_moon_face
1F32B,fog
1F325,sun_behind_large_cloud
1F44E,thumbs_down
1F566,eleven-thirty
1F625,sad_but_relieved_face
1F61F,worried_face
1F32B,
1F32B,fog
1F31F,glowing_star
1F32B,fog
1F4A1,light_bulb
1F4A1,light_bulb
274C,cross_mark
1F31F,glowing_star
1F311,new_moon
1F31F,glowing_star
1F4A1,light_bulb
1F576,sunglasses
1F612,unamused_face
1F44E,thumbs_down
1F31F,glowing_star
274C,cross_mark
1F4A1,light_bulb
1F56F,candle
1F32B,fog
2B50,star
1F60A,smiling_face_with_smiling_eyes
1F6CF,bed
1F60C,relieved_face
263A,smiling_face
2600,sun
1F304,sunrise_over_mountains
1F6CB,couch_and_lamp
1F970,smiling_face_with_hearts
1F970,smiling_face_with_hearts
1F6CB,couch_and_lamp
