sent1,sent2,label,strategy,sent1_emoji,sent1_emoji_unicode
This is sunglasses [EM] sunglasses.,This is dark glass.,1,3,This is 🕶 🕶,This is {1F576} {1F576}
This is sunglasses.,This is dark glass.,1,4,This is 🕶,This is {1F576}
This is new_moon [EM] wine_glass.,This is dark glass.,1,0,This is 🌑 🍷,This is {1F311} {1F377}
This is angry_face_with_horns.,This is dark glass.,1,4,This is 👿,This is {1F47F}
This is night_with_stars.,This is dark glass.,1,4,This is 🌃,This is {1F303}
This is sunglasses.,This is dark glass.,1,4,This is 🕶,This is {1F576}
This is sunglasses [EM] water_wave.,This is dark undercurrent.,1,0,This is 🕶 🌊,This is {1F576} {1F30A}
This is black_circle [EM] water_wave.,This is dark undercurrent.,1,0,This is ⚫ 🌊,This is {26AB} {1F30A}
This is black_circle [EM] cloud_with_lightning_and_rain.,This is dark undercurrent.,1,0,This is ⚫ ⛈,This is {26AB} {26C8}
This is new_moon [EM] water_wave [EM] sweat_droplets.,This is dark undercurrent.,1,0,This is 🌑 🌊 💦,This is {1F311} {1F30A} {1F4A6}
This is new_moon [EM] no_one_under_eighteen [EM] water_wave.,This is dark undercurrent.,1,0,This is 🌑 🔞 🌊,This is {1F311} {1F51E} {1F30A}
This is angry_face_with_horns [EM] face_screaming_in_fear [EM] fearful_face.,This is dark undercurrent.,1,2,This is 👿 😱 😨,This is {1F47F} {1F631} {1F628}
This is spade_suit [EM] angry_face_with_horns.,This is dark undercurrent.,1,1,This is ♠ 👿,This is {2660} {1F47F}
This is smiling_face_with_horns [EM] chart_increasing.,This is dark undercurrent.,1,1,This is 😈 📈,This is {1F608} {1F4C8}
This is sunglasses [EM] ballot_box_with_ballot.,This is dark corner.,1,0,This is 🕶 🗳,This is {1F576} {1F5F3}
This is black_circle [EM] brick.,This is dark corner.,1,0,This is ⚫ 🧱,This is {26AB} {1F9F1}
This is flashlight [EM] prohibited [EM] prohibited.,This is dark corner.,1,1,This is 🔦 🚫 🚫,This is {1F526} {1F6AB} {1F6AB}
This is new_moon [EM] cross_mark [EM] light_bulb.,This is dark corner.,1,1,This is 🌑 ❌ 💡,This is {1F311} {274C} {1F4A1}
This is new_moon [EM] school [EM] shushing_face [EM] Japanese_secret_button.,This is dark corner.,1,1,This is 🌑 🏫 🤫 ㊙,This is {1F311} {1F3EB} {1F92B} {3299}
This is fearful_face [EM] ogre.,This is dark corner.,1,1,This is 😨 👹,This is {1F628} {1F479}
This is new_moon [EM] boomerang.,This is dark corner.,1,0,This is 🌑 🪃,This is {1F311} {1FA83}
This is sunglasses [EM] house.,This is dark corner.,1,0,This is 🕶 🏠,This is {1F576} {1F3E0}
This is sunglasses [EM] angry_face_with_horns.,This is dark purpose.,1,1,This is 🕶 👿,This is {1F576} {1F47F}
This is black_circle [EM] smiling_face_with_horns.,This is dark purpose.,1,1,This is ⚫ 😈,This is {26AB} {1F608}
This is smiling_face_with_horns [EM] smiling_face_with_horns [EM] smiling_face_with_horns [EM] smiling_face_with_horns.,This is dark purpose.,1,3,This is 😈 😈 😈 😈,This is {1F608} {1F608} {1F608} {1F608}
This is new_moon [EM] face_with_crossed-out_eyes [EM] skull.,This is dark purpose.,1,1,This is 🌑 😵 💀,This is {1F311} {1F635} {1F480}
This is smiling_face_with_horns [EM] red_question_mark [EM] woman_shrugging.,This is dark purpose.,1,1,This is 😈 ❓ 🤷‍♀,This is {1F608} {2753} {1F937 + 200D + 2640}
This is angry_face_with_horns [EM] ogre [EM] goblin [EM] smirking_face.,This is dark purpose.,1,2,This is 👿 👹 👺 😏,This is {1F47F} {1F479} {1F47A} {1F60F}
This is angry_face_with_horns [EM] smiling_face_with_horns.,This is dark purpose.,1,3,This is 👿 😈,This is {1F47F} {1F608}
This is new_moon [EM] smiling_face_with_horns [EM] ogre.,This is dark purpose.,1,1,This is 🌑 😈 👹,This is {1F311} {1F608} {1F479}
This is backhand_index_pointing_right [EM] national_park.,This is right bank.,1,0,This is 👉 🏞,This is {1F449} {1F3DE}
This is backhand_index_pointing_right [EM] bank.,This is right bank.,1,0,This is 👉 🏦,This is {1F449} {1F3E6}
This is right_arrow [EM] bank [EM] money_bag.,This is right bank.,1,0,This is ➡ 🏦 💰,This is {27A1} {1F3E6} {1F4B0}
This is check_mark_button [EM] bank.,This is right bank.,1,0,This is ✅ 🏦,This is {2705} {1F3E6}
This is check_mark [EM] bank.,This is right bank.,1,0,This is ✔ 🏦,This is {2714} {1F3E6}
This is backhand_index_pointing_right [EM] bank.,This is right bank.,1,0,This is 👉 🏦,This is {1F449} {1F3E6}
This is thumbs_up [EM] bank [EM] money_bag [EM] money_bag [EM] money_bag.,This is right bank.,1,0,This is 👍 🏦 💰 💰 💰,This is {1F44D} {1F3E6} {1F4B0} {1F4B0} {1F4B0}
This is thumbs_up [EM] bank [EM] money_with_wings [EM] chart_increasing_with_yen.,This is right bank.,1,0,This is 👍 🏦 💸 💹,This is {1F44D} {1F3E6} {1F4B8} {1F4B9}
This is raised_hand [EM] backhand_index_pointing_right.,This is right hand.,1,0,This is ✋ 👉,This is {270B} {1F449}
This is backhand_index_pointing_right [EM] hand_with_fingers_splayed.,This is right hand.,1,0,This is 👉 🖐,This is {1F449} {1F590}
This is right_arrow [EM] hand_with_fingers_splayed.,This is right hand.,1,0,This is ➡ 🖐,This is {27A1} {1F590}
This is backhand_index_pointing_right [EM] hand_with_fingers_splayed.,This is right hand.,1,0,This is 👉 🖐,This is {1F449} {1F590}
This is backhand_index_pointing_right [EM] raised_back_of_hand.,This is right hand.,1,0,This is 👉 🤚,This is {1F449} {1F91A}
This is backhand_index_pointing_right [EM] waving_hand.,This is right hand.,1,0,This is 👉 👋,This is {1F449} {1F44B}
This is backhand_index_pointing_right [EM] check_mark.,This is right hand.,1,1,This is 👉 ✔,This is {1F449} {2714}
This is palms_up_together [EM] raised_back_of_hand.,This is right hand.,1,1,This is 🤲 🤚,This is {1F932} {1F91A}
This is backhand_index_pointing_right.,This is right side.,1,4,This is 👉,This is {1F449}
This is backhand_index_pointing_right [EM] backhand_index_pointing_right.,This is right side.,1,3,This is 👉 👉,This is {1F449} {1F449}
This is right_arrow [EM] woman_tipping_hand.,This is right side.,1,2,This is ➡ 💁‍♀,This is {27A1} {1F481 + 200D + 2640}
This is backhand_index_pointing_right [EM] person_standing.,This is right side.,1,1,This is 👉 🧍,This is {1F449} {1F9CD}
This is backhand_index_pointing_right.,This is right side.,1,4,This is 👉,This is {1F449}
This is backhand_index_pointing_right.,This is right side.,1,4,This is 👉,This is {1F449}
This is bust_in_silhouette [EM] backhand_index_pointing_right.,This is right side.,1,1,This is 👤 👉,This is {1F464} {1F449}
This is right_arrow [EM] people_holding_hands [EM] backhand_index_pointing_left.,This is right side.,1,1,This is ➡ 🧑‍🤝‍🧑 👈,This is {27A1} {1F9D1 + 200D + 1F91D + 200D + 1F9D1} {1F448}
This is check_mark.,This is right decision.,1,4,This is ✔,This is {2714}
This is check_mark [EM] light_bulb [EM] woman [EM] thumbs_up.,This is right decision.,1,0,This is ✔ 💡 👩 👍,This is {2714} {1F4A1} {1F469} {1F44D}
This is right_arrow [EM] handshake.,This is right decision.,1,0,This is ➡ 🤝,This is {27A1} {1F91D}
This is check_mark_button [EM] brain.,This is right decision.,1,0,This is ✅ 🧠,This is {2705} {1F9E0}
This is thumbs_up.,This is right decision.,1,4,This is 👍,This is {1F44D}
This is check_mark_button.,This is right decision.,1,4,This is ✅,This is {2705}
This is thinking_face [EM] thought_balloon [EM] light_bulb [EM] chart_increasing.,This is right decision.,1,1,This is 🤔 💭 💡 📈,This is {1F914} {1F4AD} {1F4A1} {1F4C8}
This is thinking_face [EM] check_mark_button.,This is right decision.,1,1,This is 🤔 ✅,This is {1F914} {2705}
This is check_mark.,This is right answer.,1,4,This is ✔,This is {2714}
This is check_mark [EM] page_facing_up [EM] writing_hand.,This is right answer.,1,0,This is ✔ 📄 ✍,This is {2714} {1F4C4} {270D}
This is right_arrow [EM] writing_hand [EM] check_mark_button.,This is right answer.,1,0,This is ➡ ✍ ✅,This is {27A1} {270D} {2705}
This is check_mark_button [EM] memo.,This is right answer.,1,0,This is ✅ 📝,This is {2705} {1F4DD}
This is hundred_points.,This is right answer.,1,4,This is 💯,This is {1F4AF}
This is check_mark_button.,This is right answer.,1,4,This is ✅,This is {2705}
This is thinking_face [EM] red_question_mark [EM] memo [EM] light_bulb [EM] pencil [EM] check_mark.,This is right answer.,1,1,This is 🤔 ❓ 📝 💡 ✏ ✔,This is {1F914} {2753} {1F4DD} {1F4A1} {270F} {2714}
This is woman_raising_hand [EM] thumbs_up [EM] check_mark_button.,This is right answer.,1,1,This is 🙋‍♀ 👍 ✅,This is {1F64B + 200D + 2640} {1F44D} {2705}
This is check_mark [EM] man.,This is right man.,1,0,This is ✔ 👨,This is {2714} {1F468}
This is check_mark [EM] man [EM] two_hearts.,This is right man.,1,0,This is ✔ 👨 💕,This is {2714} {1F468} {1F495}
This is right_arrow [EM] man [EM] OK_hand.,This is right man.,1,0,This is ➡ 👨 👌,This is {27A1} {1F468} {1F44C}
This is thumbs_up [EM] person_in_suit_levitating.,This is right man.,1,0,This is 👍 🕴,This is {1F44D} {1F574}
This is thumbs_up [EM] man.,This is right man.,1,0,This is 👍 👨,This is {1F44D} {1F468}
This is backhand_index_pointing_right [EM] man_light_skin_tone_blond_hair.,This is right man.,1,0,This is 👉 👱🏻‍♂,This is {1F449} {1F471 + 1F3FB + 200D + 2642}
This is woman [EM] smiling_face_with_heart-eyes [EM] man [EM] check_mark.,This is right man.,1,1,This is 👩 😍 👨 ✔,This is {1F469} {1F60D} {1F468} {2714}
This is kiss_woman_man [EM] family_man_woman_boy_boy.,This is right man.,1,1,This is 👩‍❤‍💋‍👨 👨‍👩‍👦‍👦,This is {1F469 + 200D + 2764 + 200D + 1F48B + 200D + 1F468} {1F468 + 200D + 1F469 + 200D + 1F466 + 200D + 1F466}
This is backhand_index_pointing_right [EM] motorway.,This is right road.,1,0,This is 👉 🛣,This is {1F449} {1F6E3}
This is backhand_index_pointing_right [EM] motorway.,This is right road.,1,0,This is 👉 🛣,This is {1F449} {1F6E3}
This is right_arrow [EM] motorway.,This is right road.,1,0,This is ➡ 🛣,This is {27A1} {1F6E3}
This is check_mark_button [EM] motorway.,This is right road.,1,0,This is ✅ 🛣,This is {2705} {1F6E3}
This is check_mark [EM] motorway.,This is right road.,1,0,This is ✔ 🛣,This is {2714} {1F6E3}
This is backhand_index_pointing_right [EM] motorway.,This is right road.,1,0,This is 👉 🛣,This is {1F449} {1F6E3}
This is automobile [EM] motorway [EM] check_mark.,This is right road.,1,0,This is 🚗 🛣 ✔,This is {1F697} {1F6E3} {2714}
This is motorway [EM] up-right_arrow.,This is right road.,1,1,This is 🛣 ↗,This is {1F6E3} {2197}
This is check_mark.,This is right thing.,1,4,This is ✔,This is {2714}
This is check_mark [EM] thumbs_up.,This is right thing.,1,1,This is ✔ 👍,This is {2714} {1F44D}
This is right_arrow [EM] hundred_points.,This is right thing.,1,1,This is ➡ 💯,This is {27A1} {1F4AF}
This is thumbs_up [EM] check_mark_button.,This is right thing.,1,1,This is 👍 ✅,This is {1F44D} {2705}
This is thumbs_up.,This is right thing.,1,4,This is 👍,This is {1F44D}
This is hundred_points.,This is right thing.,1,4,This is 💯,This is {1F4AF}
This is speaking_head [EM] check_mark.,This is right thing.,1,1,This is 🗣 ✔,This is {1F5E3} {2714}
This is grinning_face [EM] thumbs_up.,This is right thing.,1,1,This is 😀 👍,This is {1F600} {1F44D}
This is shorts [EM] beach_with_umbrella.,This is short holiday.,1,0,This is 🩳 🏖,This is {1FA73} {1F3D6}
This is smiling_face_with_tear [EM] pinching_hand [EM] airplane [EM] shinto_shrine.,This is short holiday.,1,1,This is 🥲 🤏 ✈ ⛩,This is {1F972} {1F90F} {2708} {26E9}
This is hourglass_not_done [EM] beach_with_umbrella [EM] airplane [EM] luggage.,This is short holiday.,1,0,This is ⏳ 🏖 ✈ 🧳,This is {23F3} {1F3D6} {2708} {1F9F3}
This is hourglass_done [EM] beach_with_umbrella.,This is short holiday.,1,0,This is ⌛ 🏖,This is {231B} {1F3D6}
This is left-right_arrow [EM] desert_island [EM] bottle_with_popping_cork [EM] person_getting_massage [EM] person_in_steamy_room [EM] person_in_lotus_position.,This is short holiday.,1,1,This is ↔ 🏝 🍾 💆 🧖 🧘,This is {2194} {1F3DD} {1F37E} {1F486} {1F9D6} {1F9D8}
This is pinching_hand [EM] beach_with_umbrella.,This is short holiday.,1,0,This is 🤏 🏖,This is {1F90F} {1F3D6}
This is pinching_hand [EM] luggage [EM] baggage_claim.,This is short holiday.,1,1,This is 🤏 🧳 🛄,This is {1F90F} {1F9F3} {1F6C4}
This is airplane_departure [EM] airplane_arrival.,This is short holiday.,1,1,This is 🛫 🛬,This is {1F6EB} {1F6EC}
This is shorts [EM] cooked_rice.,This is short ration.,1,0,This is 🩳 🍚,This is {1FA73} {1F35A}
This is pinching_hand [EM] roasted_sweet_potato [EM] bread [EM] egg.,This is short ration.,1,0,This is 🤏 🍠 🍞 🥚,This is {1F90F} {1F360} {1F35E} {1F95A}
This is pinching_hand [EM] potato [EM] roasted_sweet_potato [EM] cooked_rice.,This is short ration.,1,0,This is 🤏 🥔 🍠 🍚,This is {1F90F} {1F954} {1F360} {1F35A}
This is cross_mark_button [EM] shallow_pan_of_food.,This is short ration.,1,0,This is ❎ 🥘,This is {274E} {1F958}
This is fast_down_button [EM] cooked_rice [EM] steaming_bowl.,This is short ration.,1,0,This is ⏬ 🍚 🍜,This is {23EC} {1F35A} {1F35C}
This is pinching_hand [EM] bread.,This is short ration.,1,0,This is 🤏 🍞,This is {1F90F} {1F35E}
This is pinching_hand [EM] sheaf_of_rice.,This is short ration.,1,0,This is 🤏 🌾,This is {1F90F} {1F33E}
This is pinching_hand [EM] potato.,This is short ration.,1,0,This is 🤏 🥔,This is {1F90F} {1F954}
This is shorts [EM] woman_light_skin_tone_red_hair.,This is short hair.,1,0,This is 🩳 👩🏻‍🦰,This is {1FA73} {1F469 + 1F3FB + 200D + 1F9B0}
This is woman_getting_haircut [EM] right_arrow [EM] woman_red_hair.,This is short hair.,1,1,This is 💇‍♀ ➡ 👩‍🦰,This is {1F487 + 200D + 2640} {27A1} {1F469 + 200D + 1F9B0}
This is person_getting_haircut.,This is short hair.,1,4,This is 💇,This is {1F487}
This is pinching_hand [EM] curly_hair.,This is short hair.,1,0,This is 🤏 🦱,This is {1F90F} {1F9B1}
This is woman_red_hair [EM] woman_curly_hair [EM] person_curly_hair.,This is short hair.,1,2,This is 👩‍🦰 👩‍🦱 🧑‍🦱,This is {1F469 + 200D + 1F9B0} {1F469 + 200D + 1F9B1} {1F9D1 + 200D + 1F9B1}
This is woman_getting_haircut.,This is short hair.,1,4,This is 💇‍♀,This is {1F487 + 200D + 2640}
This is pinching_hand [EM] woman_getting_haircut.,This is short hair.,1,0,This is 🤏 💇‍♀,This is {1F90F} {1F487 + 200D + 2640}
This is man_curly_hair [EM] woman_curly_hair.,This is short hair.,1,2,This is 👨‍🦱 👩‍🦱,This is {1F468 + 200D + 1F9B1} {1F469 + 200D + 1F9B1}
This is shorts [EM] passenger_ship [EM] dashing_away.,This is short smokestack.,1,0,This is 🩳 🛳 💨,This is {1FA73} {1F6F3} {1F4A8}
This is pinching_hand [EM] factory.,This is short smokestack.,1,0,This is 🤏 🏭,This is {1F90F} {1F3ED}
This is ship [EM] dashing_away.,This is short smokestack.,1,1,This is 🚢 💨,This is {1F6A2} {1F4A8}
This is pinching_hand [EM] factory.,This is short smokestack.,1,0,This is 🤏 🏭,This is {1F90F} {1F3ED}
This is hot_springs [EM] lungs [EM] dashing_away.,This is short smokestack.,1,1,This is ♨ 🫁 💨,This is {2668} {1FAC1} {1F4A8}
This is pinching_hand [EM] nut_and_bolt [EM] gear.,This is short smokestack.,1,1,This is 🤏 🔩 ⚙,This is {1F90F} {1F529} {2699}
This is pinching_hand [EM] ship.,This is short smokestack.,1,0,This is 🤏 🚢,This is {1F90F} {1F6A2}
This is pinching_hand [EM] cigarette [EM] package.,This is short smokestack.,1,0,This is 🤏 🚬 📦,This is {1F90F} {1F6AC} {1F4E6}
This is shorts [EM] electric_plug.,This is short supply.,1,0,This is 🩳 🔌,This is {1FA73} {1F50C}
This is pinching_hand [EM] light_bulb [EM] high_voltage.,This is short supply.,1,0,This is 🤏 💡 ⚡,This is {1F90F} {1F4A1} {26A1}
This is cross_mark [EM] pencil [EM] axe [EM] wrench.,This is short supply.,1,0,This is ❌ ✏ 🪓 🔧,This is {274C} {270F} {1FA93} {1F527}
This is cross_mark_button [EM] potable_water.,This is short supply.,1,0,This is ❎ 🚰,This is {274E} {1F6B0}
This is fast_down_button [EM] coat [EM] woman’s_clothes [EM] t-shirt [EM] jeans.,This is short supply.,1,0,This is ⏬ 🧥 👚 👕 👖,This is {23EC} {1F9E5} {1F45A} {1F455} {1F456}
This is double_exclamation_mark [EM] warning [EM] bread.,This is short supply.,1,0,This is ‼ ⚠ 🍞,This is {203C} {26A0} {1F35E}
This is hut [EM] cross_mark.,This is short supply.,1,0,This is 🛖 ❌,This is {1F6D6} {274C}
This is pinching_hand [EM] package.,This is short supply.,1,0,This is 🤏 📦,This is {1F90F} {1F4E6}
This is shorts [EM] dollar_banknote.,This is short money.,1,0,This is 🩳 💵,This is {1FA73} {1F4B5}
This is pinching_hand [EM] heavy_dollar_sign.,This is short money.,1,0,This is 🤏 💲,This is {1F90F} {1F4B2}
This is cross_mark [EM] money_bag.,This is short money.,1,0,This is ❌ 💰,This is {274C} {1F4B0}
This is cross_mark_button [EM] money_bag.,This is short money.,1,0,This is ❎ 💰,This is {274E} {1F4B0}
This is person_shrugging [EM] money_with_wings [EM] money_with_wings [EM] money_with_wings.,This is short money.,1,1,This is 🤷 💸 💸 💸,This is {1F937} {1F4B8} {1F4B8} {1F4B8}
This is pinching_hand [EM] dollar_banknote.,This is short money.,1,0,This is 🤏 💵,This is {1F90F} {1F4B5}
This is money_bag [EM] money_with_wings [EM] pensive_face.,This is short money.,1,1,This is 💰 💸 😔,This is {1F4B0} {1F4B8} {1F614}
This is pinching_hand [EM] pound_banknote.,This is short money.,1,0,This is 🤏 💷,This is {1F90F} {1F4B7}
This is shorts [EM] airplane.,This is short flight.,1,0,This is 🩳 ✈,This is {1FA73} {2708}
This is smiling_face_with_tear [EM] airplane.,This is short flight.,1,1,This is 🥲 ✈,This is {1F972} {2708}
This is hourglass_not_done [EM] airplane.,This is short flight.,1,0,This is ⏳ ✈,This is {23F3} {2708}
This is hourglass_not_done [EM] airplane.,This is short flight.,1,0,This is ⏳ ✈,This is {23F3} {2708}
This is hourglass_not_done [EM] airplane [EM] airplane_departure [EM] airplane_arrival.,This is short flight.,1,0,This is ⏳ ✈ 🛫 🛬,This is {23F3} {2708} {1F6EB} {1F6EC}
This is pinching_hand [EM] airplane.,This is short flight.,1,0,This is 🤏 ✈,This is {1F90F} {2708}
This is airplane_departure [EM] pinching_hand [EM] hourglass_done [EM] airplane_arrival.,This is short flight.,1,1,This is 🛫 🤏 ⌛ 🛬,This is {1F6EB} {1F90F} {231B} {1F6EC}
This is airplane_departure [EM] airplane_arrival.,This is short flight.,1,1,This is 🛫 🛬,This is {1F6EB} {1F6EC}
This is shorts [EM] spiral_calendar.,This is short month.,1,0,This is 🩳 🗓,This is {1FA73} {1F5D3}
This is pinching_hand [EM] calendar.,This is short month.,1,0,This is 🤏 📅,This is {1F90F} {1F4C5}
This is hourglass_not_done [EM] spiral_calendar.,This is short month.,1,0,This is ⏳ 🗓,This is {23F3} {1F5D3}
This is hourglass_done [EM] spiral_calendar.,This is short month.,1,0,This is ⌛ 🗓,This is {231B} {1F5D3}
This is hourglass_not_done [EM] spiral_calendar [EM] calendar.,This is short month.,1,0,This is ⏳ 🗓 📅,This is {23F3} {1F5D3} {1F4C5}
This is SOON_arrow [EM] calendar.,This is short month.,1,0,This is 🔜 📅,This is {1F51C} {1F4C5}
This is pinching_hand [EM] hourglass_done [EM] spiral_calendar.,This is short month.,1,0,This is 🤏 ⌛ 🗓,This is {1F90F} {231B} {1F5D3}
This is hourglass_done [EM] calendar.,This is short month.,1,0,This is ⌛ 📅,This is {231B} {1F4C5}
This is shorts [EM] open_book.,This is short story.,1,0,This is 🩳 📖,This is {1FA73} {1F4D6}
This is pinching_hand [EM] orange_book [EM] open_book.,This is short story.,1,0,This is 🤏 📙 📖,This is {1F90F} {1F4D9} {1F4D6}
This is hourglass_not_done [EM] closed_book.,This is short story.,1,0,This is ⏳ 📕,This is {23F3} {1F4D5}
This is hourglass_done [EM] notebook_with_decorative_cover.,This is short story.,1,0,This is ⌛ 📔,This is {231B} {1F4D4}
This is watch [EM] open_book.,This is short story.,1,0,This is ⌚ 📖,This is {231A} {1F4D6}
This is pinching_hand [EM] speaking_head.,This is short story.,1,0,This is 🤏 🗣,This is {1F90F} {1F5E3}
This is pinching_hand [EM] speaking_head [EM] open_book.,This is short story.,1,0,This is 🤏 🗣 📖,This is {1F90F} {1F5E3} {1F4D6}
This is hourglass_done [EM] open_book.,This is short story.,1,0,This is ⌛ 📖,This is {231B} {1F4D6}
This is shorts [EM] alien.,This is short life.,1,0,This is 🩳 👽,This is {1FA73} {1F47D}
This is pinching_hand [EM] skull_and_crossbones.,This is short life.,1,0,This is 🤏 ☠,This is {1F90F} {2620}
This is hourglass_not_done [EM] one_o’clock [EM] woman_white_hair [EM] older_person.,This is short life.,1,1,This is ⏳ 🕐 👩‍🦳 🧓,This is {23F3} {1F550} {1F469 + 200D + 1F9B3} {1F9D3}
This is waving_hand [EM] grinning_face [EM] hourglass_done.,This is short life.,1,1,This is 👋 😀 ⌛,This is {1F44B} {1F600} {231B}
This is hourglass_not_done [EM] anatomical_heart [EM] beating_heart.,This is short life.,1,1,This is ⏳ 🫀 💓,This is {23F3} {1FAC0} {1F493}
