sent1,sent2,label,strategy,sent1_emoji,sent1_emoji_unicode,extracted
This is glowing_star [EM] sun_behind_small_cloud [EM] sunset [EM] sunrise.,This is bright sun.,1,2,This is 🌟 🌤 🌇 🌅,This is {1F31F} {1F324} {1F307} {1F305},"glowing_star, sun_behind_small_cloud, sunset, sunrise"
This is sun [EM] bright_button.,This is bright sun.,1,0,This is ☀ 🔆,This is {2600} {1F506},"sun, bright_button"
This is sparkles [EM] sun.,This is bright sun.,1,0,This is ✨ ☀,This is {2728} {2600},"sparkles, sun"
This is sun [EM] glowing_star.,This is bright sun.,1,0,This is ☀ 🌟,This is {2600} {1F31F},"sun, glowing_star"
This is sun [EM] sun.,This is bright sun.,1,3,This is ☀ ☀,This is {2600} {2600},"sun, sun"
This is sun [EM] sun.,This is bright sun.,1,3,This is ☀ ☀,This is {2600} {2600},"sun, sun"
This is sparkler [EM] dress.,This is bright dress.,1,0,This is 🎇 👗,This is {1F387} {1F457},"sparkler, dress"
This is bright_button [EM] dress.,This is bright dress.,1,0,This is 🔆 👗,This is {1F506} {1F457},"bright_button, dress"
This is sparkles [EM] dress.,This is bright dress.,1,0,This is ✨ 👗,This is {2728} {1F457},"sparkles, dress"
This is bright_button [EM] dress [EM] woman_dancing.,This is bright dress.,1,0,This is 🔆 👗 💃,This is {1F506} {1F457} {1F483},"bright_button, dress, woman_dancing"
This is sun [EM] artist_palette [EM] dress.,This is bright dress.,1,0,This is ☀ 🎨 👗,This is {2600} {1F3A8} {1F457},"sun, artist_palette, dress"
This is dress [EM] sparkles.,This is bright dress.,1,0,This is 👗 ✨,This is {1F457} {2728},"dress, sparkles"
This is sun [EM] dress.,This is bright dress.,1,0,This is ☀ 👗,This is {2600} {1F457},"sun, dress"
This is dress [EM] sparkles.,This is bright dress.,1,0,This is 👗 ✨,This is {1F457} {2728},"dress, sparkles"
This is sparkler [EM] school.,This is bright room.,1,0,This is 🎇 🏫,This is {1F387} {1F3EB},"sparkler, school"
This is bright_button [EM] men’s_room [EM] women’s_room.,This is bright room.,1,0,This is 🔆 🚹 🚺,This is {1F506} {1F6B9} {1F6BA},"bright_button, men’s_room, women’s_room"
This is sparkles [EM] house.,This is bright room.,1,0,This is ✨ 🏠,This is {2728} {1F3E0},"sparkles, house"
This is light_bulb [EM] candle [EM] house.,This is bright room.,1,0,This is 💡 🕯 🏠,This is {1F4A1} {1F56F} {1F3E0},"light_bulb, candle, house"
This is sun [EM] school.,This is bright room.,1,0,This is ☀ 🏫,This is {2600} {1F3EB},"sun, school"
This is light_bulb [EM] wedding.,This is bright room.,1,0,This is 💡 💒,This is {1F4A1} {1F492},"light_bulb, wedding"
This is sun.,This is bright room.,1,4,This is ☀,This is {2600},
This is sun [EM] school.,This is bright room.,1,0,This is ☀ 🏫,This is {2600} {1F3EB},"sun, school"
This is sunglasses [EM] person_in_suit_levitating.,This is dark shadow.,1,1,This is 🕶 🕴,This is {1F576} {1F574},"sunglasses, person_in_suit_levitating"
This is black_circle [EM] busts_in_silhouette.,This is dark shadow.,1,1,This is ⚫ 👥,This is {26AB} {1F465},"black_circle, busts_in_silhouette"
This is sunglasses [EM] sunglasses [EM] bust_in_silhouette.,This is dark shadow.,1,1,This is 🕶 🕶 👤,This is {1F576} {1F576} {1F464},"sunglasses, sunglasses, bust_in_silhouette"
This is cross_mark [EM] light_bulb [EM] person_standing.,This is dark shadow.,1,1,This is ❌ 💡 🧍,This is {274C} {1F4A1} {1F9CD},"cross_mark, light_bulb, person_standing"
This is new_moon [EM] bust_in_silhouette.,This is dark shadow.,1,1,This is 🌑 👤,This is {1F311} {1F464},"new_moon, bust_in_silhouette"
This is new_moon.,This is dark shadow.,1,4,This is 🌑,This is {1F311},
This is new_moon_face.,This is dark shadow.,1,4,This is 🌚,This is {1F31A},
This is new_moon [EM] men’s_room.,This is dark shadow.,1,1,This is 🌑 🚹,This is {1F311} {1F6B9},"new_moon, men’s_room"
This is sunglasses [EM] sunrise.,This is dark day.,1,0,This is 🕶 🌅,This is {1F576} {1F305},"sunglasses, sunrise"
This is black_circle [EM] tear-off_calendar.,This is dark day.,1,0,This is ⚫ 📆,This is {26AB} {1F4C6},"black_circle, tear-off_calendar"
This is tornado [EM] fog [EM] fog.,This is dark day.,1,1,This is 🌪 🌫 🌫,This is {1F32A} {1F32B} {1F32B},"tornado, fog, fog"
This is cloud_with_lightning_and_rain [EM] fog [EM] new_moon.,This is dark day.,1,1,This is ⛈ 🌫 🌑,This is {26C8} {1F32B} {1F311},"cloud_with_lightning_and_rain, fog, new_moon"
This is new_moon [EM] tear-off_calendar.,This is dark day.,1,0,This is 🌑 📆,This is {1F311} {1F4C6},"new_moon, tear-off_calendar"
This is smiling_face_with_horns [EM] footprints.,This is dark day.,1,1,This is 😈 👣,This is {1F608} {1F463},"smiling_face_with_horns, footprints"
This is new_moon.,This is dark day.,1,4,This is 🌑,This is {1F311},
This is new_moon [EM] night_with_stars.,This is dark day.,1,0,This is 🌑 🌃,This is {1F311} {1F303},"new_moon, night_with_stars"
This is sunglasses [EM] glass_of_milk.,This is dark glass.,1,0,This is 🕶 🥛,This is {1F576} {1F95B},"sunglasses, glass_of_milk"
This is black_circle [EM] glass_of_milk.,This is dark glass.,1,0,This is ⚫ 🥛,This is {26AB} {1F95B},"black_circle, glass_of_milk"
This is sunglasses [EM] sunglasses.,This is dark glass.,1,3,This is 🕶 🕶,This is {1F576} {1F576},"sunglasses, sunglasses"
This is sunglasses.,This is dark glass.,1,4,This is 🕶,This is {1F576},
This is new_moon [EM] wine_glass.,This is dark glass.,1,0,This is 🌑 🍷,This is {1F311} {1F377},"new_moon, wine_glass"
This is angry_face_with_horns.,This is dark glass.,1,4,This is 👿,This is {1F47F},
This is night_with_stars.,This is dark glass.,1,4,This is 🌃,This is {1F303},
This is sunglasses.,This is dark glass.,1,4,This is 🕶,This is {1F576},
This is sunglasses [EM] water_wave.,This is dark undercurrent.,1,0,This is 🕶 🌊,This is {1F576} {1F30A},"sunglasses, water_wave"
This is black_circle [EM] water_wave.,This is dark undercurrent.,1,0,This is ⚫ 🌊,This is {26AB} {1F30A},"black_circle, water_wave"
This is black_circle [EM] cloud_with_lightning_and_rain.,This is dark undercurrent.,1,0,This is ⚫ ⛈,This is {26AB} {26C8},"black_circle, cloud_with_lightning_and_rain"
This is new_moon [EM] water_wave [EM] sweat_droplets.,This is dark undercurrent.,1,0,This is 🌑 🌊 💦,This is {1F311} {1F30A} {1F4A6},"new_moon, water_wave, sweat_droplets"
This is new_moon [EM] no_one_under_eighteen [EM] water_wave.,This is dark undercurrent.,1,0,This is 🌑 🔞 🌊,This is {1F311} {1F51E} {1F30A},"new_moon, no_one_under_eighteen, water_wave"
This is angry_face_with_horns [EM] face_screaming_in_fear [EM] fearful_face.,This is dark undercurrent.,1,2,This is 👿 😱 😨,This is {1F47F} {1F631} {1F628},"angry_face_with_horns, face_screaming_in_fear, fearful_face"
This is spade_suit [EM] angry_face_with_horns.,This is dark undercurrent.,1,1,This is ♠ 👿,This is {2660} {1F47F},"spade_suit, angry_face_with_horns"
This is smiling_face_with_horns [EM] chart_increasing.,This is dark undercurrent.,1,1,This is 😈 📈,This is {1F608} {1F4C8},"smiling_face_with_horns, chart_increasing"
This is sunglasses [EM] ballot_box_with_ballot.,This is dark corner.,1,0,This is 🕶 🗳,This is {1F576} {1F5F3},"sunglasses, ballot_box_with_ballot"
This is black_circle [EM] brick.,This is dark corner.,1,0,This is ⚫ 🧱,This is {26AB} {1F9F1},"black_circle, brick"
This is flashlight [EM] prohibited [EM] prohibited.,This is dark corner.,1,1,This is 🔦 🚫 🚫,This is {1F526} {1F6AB} {1F6AB},"flashlight, prohibited, prohibited"
This is new_moon [EM] cross_mark [EM] light_bulb.,This is dark corner.,1,1,This is 🌑 ❌ 💡,This is {1F311} {274C} {1F4A1},"new_moon, cross_mark, light_bulb"
This is new_moon [EM] school [EM] shushing_face [EM] Japanese_secret_button.,This is dark corner.,1,1,This is 🌑 🏫 🤫 ㊙,This is {1F311} {1F3EB} {1F92B} {3299},"new_moon, school, shushing_face, Japanese_secret_button"
This is fearful_face [EM] ogre.,This is dark corner.,1,1,This is 😨 👹,This is {1F628} {1F479},"fearful_face, ogre"
This is new_moon [EM] boomerang.,This is dark corner.,1,0,This is 🌑 🪃,This is {1F311} {1FA83},"new_moon, boomerang"
This is sunglasses [EM] house.,This is dark corner.,1,0,This is 🕶 🏠,This is {1F576} {1F3E0},"sunglasses, house"
This is sunglasses [EM] angry_face_with_horns.,This is dark purpose.,1,1,This is 🕶 👿,This is {1F576} {1F47F},"sunglasses, angry_face_with_horns"
This is black_circle [EM] smiling_face_with_horns.,This is dark purpose.,1,1,This is ⚫ 😈,This is {26AB} {1F608},"black_circle, smiling_face_with_horns"
This is smiling_face_with_horns [EM] smiling_face_with_horns [EM] smiling_face_with_horns [EM] smiling_face_with_horns.,This is dark purpose.,1,3,This is 😈 😈 😈 😈,This is {1F608} {1F608} {1F608} {1F608},"smiling_face_with_horns, smiling_face_with_horns, smiling_face_with_horns, smiling_face_with_horns"
This is new_moon [EM] face_with_crossed-out_eyes [EM] skull.,This is dark purpose.,1,1,This is 🌑 😵 💀,This is {1F311} {1F635} {1F480},"new_moon, face_with_crossed-out_eyes, skull"
This is smiling_face_with_horns [EM] red_question_mark [EM] woman_shrugging.,This is dark purpose.,1,1,This is 😈 ❓ 🤷‍♀,This is {1F608} {2753} {1F937 + 200D + 2640},"smiling_face_with_horns, red_question_mark, woman_shrugging"
This is angry_face_with_horns [EM] ogre [EM] goblin [EM] smirking_face.,This is dark purpose.,1,2,This is 👿 👹 👺 😏,This is {1F47F} {1F479} {1F47A} {1F60F},"angry_face_with_horns, ogre, goblin, smirking_face"
This is angry_face_with_horns [EM] smiling_face_with_horns.,This is dark purpose.,1,3,This is 👿 😈,This is {1F47F} {1F608},"angry_face_with_horns, smiling_face_with_horns"
This is new_moon [EM] smiling_face_with_horns [EM] ogre.,This is dark purpose.,1,1,This is 🌑 😈 👹,This is {1F311} {1F608} {1F479},"new_moon, smiling_face_with_horns, ogre"
This is backhand_index_pointing_right [EM] national_park.,This is right bank.,1,0,This is 👉 🏞,This is {1F449} {1F3DE},"backhand_index_pointing_right, national_park"
This is backhand_index_pointing_right [EM] bank.,This is right bank.,1,0,This is 👉 🏦,This is {1F449} {1F3E6},"backhand_index_pointing_right, bank"
This is right_arrow [EM] bank [EM] money_bag.,This is right bank.,1,0,This is ➡ 🏦 💰,This is {27A1} {1F3E6} {1F4B0},"right_arrow, bank, money_bag"
This is check_mark_button [EM] bank.,This is right bank.,1,0,This is ✅ 🏦,This is {2705} {1F3E6},"check_mark_button, bank"
This is check_mark [EM] bank.,This is right bank.,1,0,This is ✔ 🏦,This is {2714} {1F3E6},"check_mark, bank"
This is backhand_index_pointing_right [EM] bank.,This is right bank.,1,0,This is 👉 🏦,This is {1F449} {1F3E6},"backhand_index_pointing_right, bank"
This is thumbs_up [EM] bank [EM] money_bag [EM] money_bag [EM] money_bag.,This is right bank.,1,0,This is 👍 🏦 💰 💰 💰,This is {1F44D} {1F3E6} {1F4B0} {1F4B0} {1F4B0},"thumbs_up, bank, money_bag, money_bag, money_bag"
This is thumbs_up [EM] bank [EM] money_with_wings [EM] chart_increasing_with_yen.,This is right bank.,1,0,This is 👍 🏦 💸 💹,This is {1F44D} {1F3E6} {1F4B8} {1F4B9},"thumbs_up, bank, money_with_wings, chart_increasing_with_yen"
This is raised_hand [EM] backhand_index_pointing_right.,This is right hand.,1,0,This is ✋ 👉,This is {270B} {1F449},"raised_hand, backhand_index_pointing_right"
This is backhand_index_pointing_right [EM] hand_with_fingers_splayed.,This is right hand.,1,0,This is 👉 🖐,This is {1F449} {1F590},"backhand_index_pointing_right, hand_with_fingers_splayed"
This is right_arrow [EM] hand_with_fingers_splayed.,This is right hand.,1,0,This is ➡ 🖐,This is {27A1} {1F590},"right_arrow, hand_with_fingers_splayed"
This is backhand_index_pointing_right [EM] hand_with_fingers_splayed.,This is right hand.,1,0,This is 👉 🖐,This is {1F449} {1F590},"backhand_index_pointing_right, hand_with_fingers_splayed"
This is backhand_index_pointing_right [EM] raised_back_of_hand.,This is right hand.,1,0,This is 👉 🤚,This is {1F449} {1F91A},"backhand_index_pointing_right, raised_back_of_hand"
This is backhand_index_pointing_right [EM] waving_hand.,This is right hand.,1,0,This is 👉 👋,This is {1F449} {1F44B},"backhand_index_pointing_right, waving_hand"
This is backhand_index_pointing_right [EM] check_mark.,This is right hand.,1,1,This is 👉 ✔,This is {1F449} {2714},"backhand_index_pointing_right, check_mark"
This is palms_up_together [EM] raised_back_of_hand.,This is right hand.,1,1,This is 🤲 🤚,This is {1F932} {1F91A},"palms_up_together, raised_back_of_hand"
This is backhand_index_pointing_right.,This is right side.,1,4,This is 👉,This is {1F449},
This is backhand_index_pointing_right [EM] backhand_index_pointing_right.,This is right side.,1,3,This is 👉 👉,This is {1F449} {1F449},"backhand_index_pointing_right, backhand_index_pointing_right"
This is right_arrow [EM] woman_tipping_hand.,This is right side.,1,2,This is ➡ 💁‍♀,This is {27A1} {1F481 + 200D + 2640},"right_arrow, woman_tipping_hand"
This is backhand_index_pointing_right [EM] person_standing.,This is right side.,1,1,This is 👉 🧍,This is {1F449} {1F9CD},"backhand_index_pointing_right, person_standing"
This is backhand_index_pointing_right.,This is right side.,1,4,This is 👉,This is {1F449},
This is backhand_index_pointing_right.,This is right side.,1,4,This is 👉,This is {1F449},
This is bust_in_silhouette [EM] backhand_index_pointing_right.,This is right side.,1,1,This is 👤 👉,This is {1F464} {1F449},"bust_in_silhouette, backhand_index_pointing_right"
This is right_arrow [EM] people_holding_hands [EM] backhand_index_pointing_left.,This is right side.,1,1,This is ➡ 🧑‍🤝‍🧑 👈,This is {27A1} {1F9D1 + 200D + 1F91D + 200D + 1F9D1} {1F448},"right_arrow, people_holding_hands, backhand_index_pointing_left"
This is check_mark.,This is right decision.,1,4,This is ✔,This is {2714},
This is check_mark [EM] light_bulb [EM] woman [EM] thumbs_up.,This is right decision.,1,0,This is ✔ 💡 👩 👍,This is {2714} {1F4A1} {1F469} {1F44D},"check_mark, light_bulb, woman, thumbs_up"
This is right_arrow [EM] handshake.,This is right decision.,1,0,This is ➡ 🤝,This is {27A1} {1F91D},"right_arrow, handshake"
This is check_mark_button [EM] brain.,This is right decision.,1,0,This is ✅ 🧠,This is {2705} {1F9E0},"check_mark_button, brain"
This is thumbs_up.,This is right decision.,1,4,This is 👍,This is {1F44D},
This is check_mark_button.,This is right decision.,1,4,This is ✅,This is {2705},
This is thinking_face [EM] thought_balloon [EM] light_bulb [EM] chart_increasing.,This is right decision.,1,1,This is 🤔 💭 💡 📈,This is {1F914} {1F4AD} {1F4A1} {1F4C8},"thinking_face, thought_balloon, light_bulb, chart_increasing"
This is thinking_face [EM] check_mark_button.,This is right decision.,1,1,This is 🤔 ✅,This is {1F914} {2705},"thinking_face, check_mark_button"
This is check_mark.,This is right answer.,1,4,This is ✔,This is {2714},
This is check_mark [EM] page_facing_up [EM] writing_hand.,This is right answer.,1,0,This is ✔ 📄 ✍,This is {2714} {1F4C4} {270D},"check_mark, page_facing_up, writing_hand"
This is right_arrow [EM] writing_hand [EM] check_mark_button.,This is right answer.,1,0,This is ➡ ✍ ✅,This is {27A1} {270D} {2705},"right_arrow, writing_hand, check_mark_button"
This is check_mark_button [EM] memo.,This is right answer.,1,0,This is ✅ 📝,This is {2705} {1F4DD},"check_mark_button, memo"
This is hundred_points.,This is right answer.,1,4,This is 💯,This is {1F4AF},
This is check_mark_button.,This is right answer.,1,4,This is ✅,This is {2705},
This is thinking_face [EM] red_question_mark [EM] memo [EM] light_bulb [EM] pencil [EM] check_mark.,This is right answer.,1,1,This is 🤔 ❓ 📝 💡 ✏ ✔,This is {1F914} {2753} {1F4DD} {1F4A1} {270F} {2714},"thinking_face, red_question_mark, memo, light_bulb, pencil, check_mark"
This is woman_raising_hand [EM] thumbs_up [EM] check_mark_button.,This is right answer.,1,1,This is 🙋‍♀ 👍 ✅,This is {1F64B + 200D + 2640} {1F44D} {2705},"woman_raising_hand, thumbs_up, check_mark_button"
This is check_mark [EM] man.,This is right man.,1,0,This is ✔ 👨,This is {2714} {1F468},"check_mark, man"
This is check_mark [EM] man [EM] two_hearts.,This is right man.,1,0,This is ✔ 👨 💕,This is {2714} {1F468} {1F495},"check_mark, man, two_hearts"
This is right_arrow [EM] man [EM] OK_hand.,This is right man.,1,0,This is ➡ 👨 👌,This is {27A1} {1F468} {1F44C},"right_arrow, man, OK_hand"
This is thumbs_up [EM] person_in_suit_levitating.,This is right man.,1,0,This is 👍 🕴,This is {1F44D} {1F574},"thumbs_up, person_in_suit_levitating"
This is thumbs_up [EM] man.,This is right man.,1,0,This is 👍 👨,This is {1F44D} {1F468},"thumbs_up, man"
This is backhand_index_pointing_right [EM] man_light_skin_tone_blond_hair.,This is right man.,1,0,This is 👉 👱🏻‍♂,This is {1F449} {1F471 + 1F3FB + 200D + 2642},"backhand_index_pointing_right, man_light_skin_tone_blond_hair"
This is woman [EM] smiling_face_with_heart-eyes [EM] man [EM] check_mark.,This is right man.,1,1,This is 👩 😍 👨 ✔,This is {1F469} {1F60D} {1F468} {2714},"woman, smiling_face_with_heart-eyes, man, check_mark"
This is kiss_woman_man [EM] family_man_woman_boy_boy.,This is right man.,1,1,This is 👩‍❤‍💋‍👨 👨‍👩‍👦‍👦,This is {1F469 + 200D + 2764 + 200D + 1F48B + 200D + 1F468} {1F468 + 200D + 1F469 + 200D + 1F466 + 200D + 1F466},"kiss_woman_man, family_man_woman_boy_boy"
This is backhand_index_pointing_right [EM] motorway.,This is right road.,1,0,This is 👉 🛣,This is {1F449} {1F6E3},"backhand_index_pointing_right, motorway"
This is backhand_index_pointing_right [EM] motorway.,This is right road.,1,0,This is 👉 🛣,This is {1F449} {1F6E3},"backhand_index_pointing_right, motorway"
This is right_arrow [EM] motorway.,This is right road.,1,0,This is ➡ 🛣,This is {27A1} {1F6E3},"right_arrow, motorway"
This is check_mark_button [EM] motorway.,This is right road.,1,0,This is ✅ 🛣,This is {2705} {1F6E3},"check_mark_button, motorway"
This is check_mark [EM] motorway.,This is right road.,1,0,This is ✔ 🛣,This is {2714} {1F6E3},"check_mark, motorway"
This is backhand_index_pointing_right [EM] motorway.,This is right road.,1,0,This is 👉 🛣,This is {1F449} {1F6E3},"backhand_index_pointing_right, motorway"
This is automobile [EM] motorway [EM] check_mark.,This is right road.,1,0,This is 🚗 🛣 ✔,This is {1F697} {1F6E3} {2714},"automobile, motorway, check_mark"
This is motorway [EM] up-right_arrow.,This is right road.,1,1,This is 🛣 ↗,This is {1F6E3} {2197},"motorway, up-right_arrow"
This is check_mark.,This is right thing.,1,4,This is ✔,This is {2714},
This is check_mark [EM] thumbs_up.,This is right thing.,1,1,This is ✔ 👍,This is {2714} {1F44D},"check_mark, thumbs_up"
This is right_arrow [EM] hundred_points.,This is right thing.,1,1,This is ➡ 💯,This is {27A1} {1F4AF},"right_arrow, hundred_points"
This is thumbs_up [EM] check_mark_button.,This is right thing.,1,1,This is 👍 ✅,This is {1F44D} {2705},"thumbs_up, check_mark_button"
This is thumbs_up.,This is right thing.,1,4,This is 👍,This is {1F44D},
This is hundred_points.,This is right thing.,1,4,This is 💯,This is {1F4AF},
This is speaking_head [EM] check_mark.,This is right thing.,1,1,This is 🗣 ✔,This is {1F5E3} {2714},"speaking_head, check_mark"
This is grinning_face [EM] thumbs_up.,This is right thing.,1,1,This is 😀 👍,This is {1F600} {1F44D},"grinning_face, thumbs_up"
This is shorts [EM] beach_with_umbrella.,This is short holiday.,1,0,This is 🩳 🏖,This is {1FA73} {1F3D6},"shorts, beach_with_umbrella"
This is smiling_face_with_tear [EM] pinching_hand [EM] airplane [EM] shinto_shrine.,This is short holiday.,1,1,This is 🥲 🤏 ✈ ⛩,This is {1F972} {1F90F} {2708} {26E9},"smiling_face_with_tear, pinching_hand, airplane, shinto_shrine"
This is hourglass_not_done [EM] beach_with_umbrella [EM] airplane [EM] luggage.,This is short holiday.,1,0,This is ⏳ 🏖 ✈ 🧳,This is {23F3} {1F3D6} {2708} {1F9F3},"hourglass_not_done, beach_with_umbrella, airplane, luggage"
This is hourglass_done [EM] beach_with_umbrella.,This is short holiday.,1,0,This is ⌛ 🏖,This is {231B} {1F3D6},"hourglass_done, beach_with_umbrella"
This is left-right_arrow [EM] desert_island [EM] bottle_with_popping_cork [EM] person_getting_massage [EM] person_in_steamy_room [EM] person_in_lotus_position.,This is short holiday.,1,1,This is ↔ 🏝 🍾 💆 🧖 🧘,This is {2194} {1F3DD} {1F37E} {1F486} {1F9D6} {1F9D8},"left-right_arrow, desert_island, bottle_with_popping_cork, person_getting_massage, person_in_steamy_room, person_in_lotus_position"
This is pinching_hand [EM] beach_with_umbrella.,This is short holiday.,1,0,This is 🤏 🏖,This is {1F90F} {1F3D6},"pinching_hand, beach_with_umbrella"
This is pinching_hand [EM] luggage [EM] baggage_claim.,This is short holiday.,1,1,This is 🤏 🧳 🛄,This is {1F90F} {1F9F3} {1F6C4},"pinching_hand, luggage, baggage_claim"
This is airplane_departure [EM] airplane_arrival.,This is short holiday.,1,1,This is 🛫 🛬,This is {1F6EB} {1F6EC},"airplane_departure, airplane_arrival"
This is shorts [EM] cooked_rice.,This is short ration.,1,0,This is 🩳 🍚,This is {1FA73} {1F35A},"shorts, cooked_rice"
This is pinching_hand [EM] roasted_sweet_potato [EM] bread [EM] egg.,This is short ration.,1,0,This is 🤏 🍠 🍞 🥚,This is {1F90F} {1F360} {1F35E} {1F95A},"pinching_hand, roasted_sweet_potato, bread, egg"
This is pinching_hand [EM] potato [EM] roasted_sweet_potato [EM] cooked_rice.,This is short ration.,1,0,This is 🤏 🥔 🍠 🍚,This is {1F90F} {1F954} {1F360} {1F35A},"pinching_hand, potato, roasted_sweet_potato, cooked_rice"
This is cross_mark_button [EM] shallow_pan_of_food.,This is short ration.,1,0,This is ❎ 🥘,This is {274E} {1F958},"cross_mark_button, shallow_pan_of_food"
This is fast_down_button [EM] cooked_rice [EM] steaming_bowl.,This is short ration.,1,0,This is ⏬ 🍚 🍜,This is {23EC} {1F35A} {1F35C},"fast_down_button, cooked_rice, steaming_bowl"
This is pinching_hand [EM] bread.,This is short ration.,1,0,This is 🤏 🍞,This is {1F90F} {1F35E},"pinching_hand, bread"
This is pinching_hand [EM] sheaf_of_rice.,This is short ration.,1,0,This is 🤏 🌾,This is {1F90F} {1F33E},"pinching_hand, sheaf_of_rice"
This is pinching_hand [EM] potato.,This is short ration.,1,0,This is 🤏 🥔,This is {1F90F} {1F954},"pinching_hand, potato"
This is shorts [EM] woman_light_skin_tone_red_hair.,This is short hair.,1,0,This is 🩳 👩🏻‍🦰,This is {1FA73} {1F469 + 1F3FB + 200D + 1F9B0},"shorts, woman_light_skin_tone_red_hair"
This is woman_getting_haircut [EM] right_arrow [EM] woman_red_hair.,This is short hair.,1,1,This is 💇‍♀ ➡ 👩‍🦰,This is {1F487 + 200D + 2640} {27A1} {1F469 + 200D + 1F9B0},"woman_getting_haircut, right_arrow, woman_red_hair"
This is person_getting_haircut.,This is short hair.,1,4,This is 💇,This is {1F487},
This is pinching_hand [EM] curly_hair.,This is short hair.,1,0,This is 🤏 🦱,This is {1F90F} {1F9B1},"pinching_hand, curly_hair"
This is woman_red_hair [EM] woman_curly_hair [EM] person_curly_hair.,This is short hair.,1,2,This is 👩‍🦰 👩‍🦱 🧑‍🦱,This is {1F469 + 200D + 1F9B0} {1F469 + 200D + 1F9B1} {1F9D1 + 200D + 1F9B1},"woman_red_hair, woman_curly_hair, person_curly_hair"
This is woman_getting_haircut.,This is short hair.,1,4,This is 💇‍♀,This is {1F487 + 200D + 2640},
This is pinching_hand [EM] woman_getting_haircut.,This is short hair.,1,0,This is 🤏 💇‍♀,This is {1F90F} {1F487 + 200D + 2640},"pinching_hand, woman_getting_haircut"
This is man_curly_hair [EM] woman_curly_hair.,This is short hair.,1,2,This is 👨‍🦱 👩‍🦱,This is {1F468 + 200D + 1F9B1} {1F469 + 200D + 1F9B1},"man_curly_hair, woman_curly_hair"
This is shorts [EM] passenger_ship [EM] dashing_away.,This is short smokestack.,1,0,This is 🩳 🛳 💨,This is {1FA73} {1F6F3} {1F4A8},"shorts, passenger_ship, dashing_away"
This is pinching_hand [EM] factory.,This is short smokestack.,1,0,This is 🤏 🏭,This is {1F90F} {1F3ED},"pinching_hand, factory"
This is ship [EM] dashing_away.,This is short smokestack.,1,1,This is 🚢 💨,This is {1F6A2} {1F4A8},"ship, dashing_away"
This is pinching_hand [EM] factory.,This is short smokestack.,1,0,This is 🤏 🏭,This is {1F90F} {1F3ED},"pinching_hand, factory"
This is hot_springs [EM] lungs [EM] dashing_away.,This is short smokestack.,1,1,This is ♨ 🫁 💨,This is {2668} {1FAC1} {1F4A8},"hot_springs, lungs, dashing_away"
This is pinching_hand [EM] nut_and_bolt [EM] gear.,This is short smokestack.,1,1,This is 🤏 🔩 ⚙,This is {1F90F} {1F529} {2699},"pinching_hand, nut_and_bolt, gear"
This is pinching_hand [EM] ship.,This is short smokestack.,1,0,This is 🤏 🚢,This is {1F90F} {1F6A2},"pinching_hand, ship"
This is pinching_hand [EM] cigarette [EM] package.,This is short smokestack.,1,0,This is 🤏 🚬 📦,This is {1F90F} {1F6AC} {1F4E6},"pinching_hand, cigarette, package"
This is shorts [EM] electric_plug.,This is short supply.,1,0,This is 🩳 🔌,This is {1FA73} {1F50C},"shorts, electric_plug"
This is pinching_hand [EM] light_bulb [EM] high_voltage.,This is short supply.,1,0,This is 🤏 💡 ⚡,This is {1F90F} {1F4A1} {26A1},"pinching_hand, light_bulb, high_voltage"
This is cross_mark [EM] pencil [EM] axe [EM] wrench.,This is short supply.,1,0,This is ❌ ✏ 🪓 🔧,This is {274C} {270F} {1FA93} {1F527},"cross_mark, pencil, axe, wrench"
